max # buckets,actual # buckets,ground truth split strategy,algorithm_[first solution construction],overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
1,1,depth-count,greedy_min_error_histogram,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-count,greedy_avg_res_histogram,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-count,simulated_annealing_histogram_first,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-count,simulated_annealing_histogram_middle,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-count,simulated_annealing_histogram_last,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-count,simulated_annealing_histogram_random,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-distinct,greedy_min_error_histogram,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-distinct,greedy_avg_res_histogram,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-distinct,simulated_annealing_histogram_first,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-distinct,simulated_annealing_histogram_middle,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-distinct,simulated_annealing_histogram_last,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,depth-distinct,simulated_annealing_histogram_random,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,width,greedy_min_error_histogram,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
1,1,width,greedy_avg_res_histogram,62.243328329160505,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
